id,name,image_url
1,Thời Trang Nam,images/cat_thoi_trang_nam.webp
2,Điện Thoại & Phụ Kiện,images/cat_dien_thoai.webp
3,Thiết Bị Điện Tử,images/cat_thiet_bi_dien_tu.webp
4,Máy Tính & Laptop,images/cat_may_tinh_laptop.webp
5,Máy Ảnh & Máy Quay Phim,images/cat_may_anh.webp
6,Đồng Hồ,images/cat_dong_ho.webp
7,Giày Dép Nam,images/cat_giay_dep_nam.webp
8,Thiết Bị Điện Gia Dụng,images/cat_thiet_bi_gia_dung.webp
9,Thể Thao & Du Lịch,images/cat_the_thao.webp
10,Ô Tô & Xe Máy & Xe Đạp,images/cat_oto_xe_may.webp
11,Thời Trang Nữ,images/cat_thoi_trang_nu.webp
12,Mẹ & Bé,images/cat_me_be.webp
13,Nhà Cửa & Đời Sống,images/cat_nha_cua.webp
14,Sắc Đẹp,images/cat_sac_dep.webp
15,Sức Khỏe,images/cat_suc_khoe.webp
