id,user_id,total_amount,created_at
1,8398,220000,21/01/2026 10:20
2,9995,260000,2026-01-21 10:20:00
3,7578,380000,21/01/2026 10:20
4,5754,230000,2026-01-21 10:20:00
5,2770,130000,2026-01-21 10:20:00
6,9434,170000,21/01/2026 10:20
7,8010,240000,21/01/2026 10:20
8,8698,310000,2026-01-21 10:20:00
9,3961,170000,2026-01-21 10:20:00
10,7722,470000,2026-01-21 10:20:00
11,8920,490000,2026-01-21 10:20:00
12,5338,200000,2026-01-21 10:20:00
13,7841,390000,2026-01-21 10:20:00
14,6910,60000,2026-01-21 10:20:00
15,9904,380000,2026-01-21 10:20:00
16,3884,290000,2026-01-21 10:20:00
17,9093,250000,2026-01-21 10:20:00
18,4507,300000,2026-01-21 10:20:00
19,2240,370000,2026-01-21 10:20:00
20,7749,130000,2026-01-21 10:20:00
21,4691,260000,2026-01-21 10:20:00
22,7509,330000,2026-01-21 10:20:00
23,7059,220000,2026-01-21 10:20:00
24,922,390000,2026-01-21 10:20:00
25,2023,100000,2026-01-21 10:20:00
26,6210,90000,21/01/2026 10:20
27,5591,220000,2026-01-21 10:20:00
28,751,480000,2026-01-21 10:20:00
29,4605,350000,2026-01-21 10:20:00
30,3477,30000,2026-01-21 10:20:00
31,8855,360000,2026-01-21 10:20:00
32,4569,370000,2026-01-21 10:20:00
33,6338,250000,2026-01-21 10:20:00
34,6803,470000,2026-01-21 10:20:00
35,5296,160000,2026-01-21 10:20:00
36,460,400000,21/01/2026 10:20
37,3091,480000,21/01/2026 10:20
38,4416,410000,21/01/2026 10:20
39,9087,400000,2026-01-21 10:20:00
40,5149,110000,2026-01-21 10:20:00
41,2123,240000,2026-01-21 10:20:00
42,3762,200000,2026-01-21 10:20:00
43,4128,270000,2026-01-21 10:20:00
44,4400,180000,2026-01-21 10:20:00
45,5624,110000,21/01/2026 10:20
46,6972,320000,2026-01-21 10:20:00
47,4528,260000,2026-01-21 10:20:00
48,5578,400000,2026-01-21 10:20:00
49,9878,430000,2026-01-21 10:20:00
50,1139,480000,2026-01-21 10:20:00
51,3002,230000,2026-01-21 10:20:00
52,2287,370000,2026-01-21 10:20:00
53,608,230000,2026-01-21 10:20:00
54,9451,140000,2026-01-21 10:20:00
55,6157,140000,2026-01-21 10:20:00
56,2308,450000,2026-01-21 10:20:00
57,3509,470000,2026-01-21 10:20:00
58,2138,110000,2026-01-21 10:20:00
59,851,370000,2026-01-21 10:20:00
60,2717,460000,2026-01-21 10:20:00
61,5025,430000,2026-01-21 10:20:00
62,7811,460000,2026-01-21 10:20:00
63,7722,90000,2026-01-21 10:20:00
64,7679,230000,2026-01-21 10:20:00
65,7743,20000,2026-01-21 10:20:00
66,315,300000,2026-01-21 10:20:00
67,8143,150000,2026-01-21 10:20:00
68,9343,90000,2026-01-21 10:20:00
69,2828,110000,2026-01-21 10:20:00
70,230,210000,2026-01-21 10:20:00
71,7788,190000,2026-01-21 10:20:00
72,6320,370000,2026-01-21 10:20:00
73,4726,270000,2026-01-21 10:20:00
74,2986,290000,2026-01-21 10:20:00
75,336,10000,2026-01-21 10:20:00
76,9303,130000,2026-01-21 10:20:00
77,8743,220000,2026-01-21 10:20:00
78,6698,360000,21/01/2026 10:20
79,55,120000,2026-01-21 10:20:00
80,7417,480000,2026-01-21 10:20:00
81,6814,20000,21/01/2026 10:20
82,7851,280000,2026-01-21 10:20:00
83,9453,430000,2026-01-21 10:20:00
84,4794,410000,2026-01-21 10:20:00
85,1974,480000,2026-01-21 10:20:00
86,6242,220000,2026-01-21 10:20:00
87,7166,500000,21/01/2026 10:20
88,4687,490000,2026-01-21 10:20:00
89,9500,30000,2026-01-21 10:20:00
90,4530,340000,21/01/2026 10:20
91,3000,50000,2026-01-21 10:20:00
92,6893,60000,2026-01-21 10:20:00
93,6380,90000,2026-01-21 10:20:00
94,2818,90000,2026-01-21 10:20:00
95,86,170000,2026-01-21 10:20:00
96,3159,500000,2026-01-21 10:20:00
97,7812,320000,2026-01-21 10:20:00
98,8372,160000,2026-01-21 10:20:00
99,5477,140000,2026-01-21 10:20:00
100,754,50000,2026-01-21 10:20:00
101,2334,460000,2026-01-21 10:20:00
102,8845,420000,2026-01-21 10:20:00
103,18,140000,21/01/2026 10:20
104,6355,460000,2026-01-21 10:20:00
105,6377,260000,2026-01-21 10:20:00
106,4707,120000,2026-01-21 10:20:00
107,9002,160000,2026-01-21 10:20:00
108,3886,90000,2026-01-21 10:20:00
109,5856,490000,21/01/2026 10:20
110,7401,120000,2026-01-21 10:20:00
111,9543,130000,2026-01-21 10:20:00
112,296,40000,2026-01-21 10:20:00
113,383,150000,2026-01-21 10:20:00
114,2548,220000,2026-01-21 10:20:00
115,3928,70000,2026-01-21 10:20:00
116,5798,450000,2026-01-21 10:20:00
117,4964,330000,2026-01-21 10:20:00
118,2057,150000,2026-01-21 10:20:00
119,9945,400000,2026-01-21 10:20:00
120,3307,330000,2026-01-21 10:20:00
121,7371,80000,2026-01-21 10:20:00
122,1564,80000,21/01/2026 10:20
123,2117,310000,2026-01-21 10:20:00
124,4492,90000,2026-01-21 10:20:00
125,5201,90000,2026-01-21 10:20:00
126,3617,260000,2026-01-21 10:20:00
127,9515,170000,2026-01-21 10:20:00
128,5470,500000,2026-01-21 10:20:00
129,4513,390000,2026-01-21 10:20:00
130,6605,130000,21/01/2026 10:20
131,197,480000,2026-01-21 10:20:00
132,5974,160000,2026-01-21 10:20:00
133,8585,230000,2026-01-21 10:20:00
134,7077,250000,2026-01-21 10:20:00
135,8177,50000,2026-01-21 10:20:00
136,5655,110000,2026-01-21 10:20:00
137,9428,100000,2026-01-21 10:20:00
138,4572,500000,2026-01-21 10:20:00
139,7355,290000,2026-01-21 10:20:00
140,726,250000,2026-01-21 10:20:00
141,9040,190000,2026-01-21 10:20:00
142,6553,110000,2026-01-21 10:20:00
143,6608,480000,21/01/2026 10:20
144,3592,210000,2026-01-21 10:20:00
145,2841,300000,2026-01-21 10:20:00
146,3550,410000,2026-01-21 10:20:00
147,4892,60000,2026-01-21 10:20:00
148,2258,260000,2026-01-21 10:20:00
149,8683,360000,2026-01-21 10:20:00
150,8544,160000,21/01/2026 10:20
151,4379,470000,2026-01-21 10:20:00
152,7767,10000,2026-01-21 10:20:00
153,3955,290000,2026-01-21 10:20:00
154,2261,180000,2026-01-21 10:20:00
155,299,70000,2026-01-21 10:20:00
156,1676,300000,2026-01-21 10:20:00
157,5854,240000,2026-01-21 10:20:00
158,8576,390000,2026-01-21 10:20:00
159,3671,110000,2026-01-21 10:20:00
160,9303,500000,2026-01-21 10:20:00
161,3895,190000,2026-01-21 10:20:00
162,6391,10000,2026-01-21 10:20:00
163,1341,480000,2026-01-21 10:20:00
164,8922,180000,2026-01-21 10:20:00
