id,product_id,color,size,stock,price,note
1,1,Đen,L,48,102688,
2,1,Đen,M,83,106038,
3,2,Đen,L,60,128751,
4,2,Đen,M,67,120403,
5,3,Trắng,M,24,191025,
6,3,Trắng,L,100,182275,
7,4,Đen,L,149,247937,
8,4,Trắng,M,56,253713,
9,5,Trắng,L,103,310685,
10,5,Đen,L,65,309638,
11,6,Đen,M,50,62992,
12,6,Trắng,L,70,55835,
13,7,Đen,L,64,145752,
14,7,Đen,M,27,147395,
15,8,Trắng,L,57,451901,
16,8,Trắng,M,24,452541,
17,9,Đen,L,131,104323,
18,9,Đen,M,49,101741,
19,10,Đen,L,114,116860,
20,10,Đen,M,138,127307,
21,11,Đen,M,145,189131,
22,11,Đen,L,112,180499,
23,12,Trắng,M,124,254655,
24,12,Đen,M,24,259399,
25,13,Trắng,L,53,306087,
26,13,Trắng,L,67,317095,
27,14,Đen,L,43,63031,
28,14,Trắng,L,150,59598,
29,15,Đen,M,148,151716,
30,15,Trắng,L,63,155041,
31,16,Trắng,M,82,448729,
32,16,Đen,M,129,451021,
33,17,Trắng,L,107,95636,
34,17,Đen,M,76,96281,
35,18,Đen,L,143,119021,
36,18,Đen,L,61,118952,
37,19,Trắng,M,42,194793,
38,19,Trắng,L,96,194994,
39,20,Trắng,L,38,255064,
40,20,Trắng,M,104,251623,
41,21,Đen,L,58,314595,
42,21,Trắng,L,58,307829,
43,22,Đen,M,130,59076,
44,22,Trắng,M,30,56045,
45,23,Trắng,L,150,158254,
46,23,Trắng,L,74,155604,
47,24,Trắng,L,44,446179,
48,24,Trắng,L,102,450573,
49,25,Trắng,L,46,94651,
50,25,Đen,M,99,100994,
51,26,Đen,M,79,115113,
52,26,Trắng,L,57,118759,
53,27,Trắng,L,118,191915,
54,27,Trắng,M,38,194694,
55,28,Trắng,M,35,258360,
56,28,Trắng,L,40,257045,
57,29,Đen,L,63,314203,
58,29,Trắng,L,38,317229,
59,30,Đen,L,86,61501,
60,30,Đen,M,22,62785,
61,31,Đen,L,81,147353,
62,31,Đen,L,113,145442,
63,32,Đen,L,21,445520,
64,32,Đen,L,60,457529,
65,33,Đen,M,111,99262,
66,33,Đen,L,81,102275,
67,34,Đen,M,48,124512,
68,34,Trắng,M,40,122473,
69,35,Trắng,L,88,188312,
70,35,Trắng,L,81,188743,
71,36,Trắng,L,143,251374,
72,36,Đen,M,21,245751,
73,37,Trắng,L,102,316250,
74,37,Đen,L,95,311988,
75,38,Trắng,L,27,61105,
76,38,Đen,L,72,64906,
77,39,Đen,L,128,154516,
78,39,Trắng,L,146,152224,
79,40,Đen,L,145,450855,
