id,product_id,color,size,stock,price,note
1,1,Đen,L,48,102688.00,
2,1,Đen,M,83,106038.00,
3,2,Đen,L,60,128751.00,
4,2,Đen,M,67,120403.00,
5,3,Trắng,M,24,191025.00,
6,3,Trắng,L,100,182275.00,
7,4,Đen,L,149,247937.00,
8,4,Trắng,M,56,253713.00,
9,5,Trắng,L,103,310685.00,
10,5,Đen,L,65,309638.00,
11,6,Đen,M,50,62992.00,
12,6,Trắng,L,70,55835.00,
13,7,Đen,L,64,145752.00,
14,7,Đen,M,27,147395.00,
15,8,Trắng,L,57,451901.00,
16,8,Trắng,M,24,452541.00,
17,9,Đen,L,131,104323.00,
18,9,Đen,M,49,101741.00,
19,10,Đen,L,114,116860.00,
20,10,Đen,M,138,127307.00,
21,11,Đen,M,145,189131.00,
22,11,Đen,L,112,180499.00,
23,12,Trắng,M,124,254655.00,
24,12,Đen,M,24,259399.00,
25,13,Trắng,L,53,306087.00,
26,13,Trắng,L,67,317095.00,
27,14,Đen,L,43,63031.00,
28,14,Trắng,L,150,59598.00,
29,15,Đen,M,148,151716.00,
30,15,Trắng,L,63,155041.00,
31,16,Trắng,M,82,448729.00,
32,16,Đen,M,129,451021.00,
33,17,Trắng,L,107,95636.00,
34,17,Đen,M,76,96281.00,
35,18,Đen,L,143,119021.00,
36,18,Đen,L,61,118952.00,
37,19,Trắng,M,42,194793.00,
38,19,Trắng,L,96,194994.00,
39,20,Trắng,L,38,255064.00,
40,20,Trắng,M,104,251623.00,
41,21,Đen,L,58,314595.00,
42,21,Trắng,L,58,307829.00,
43,22,Đen,M,130,59076.00,
44,22,Trắng,M,30,56045.00,
45,23,Trắng,L,150,158254.00,
46,23,Trắng,L,74,155604.00,
47,24,Trắng,L,44,446179.00,
48,24,Trắng,L,102,450573.00,
49,25,Trắng,L,46,94651.00,
50,25,Đen,M,99,100994.00,
51,26,Đen,M,79,115113.00,
52,26,Trắng,L,57,118759.00,
53,27,Trắng,L,118,191915.00,
54,27,Trắng,M,38,194694.00,
55,28,Trắng,M,35,258360.00,
56,28,Trắng,L,40,257045.00,
57,29,Đen,L,63,314203.00,
58,29,Trắng,L,38,317229.00,
59,30,Đen,L,86,61501.00,
60,30,Đen,M,22,62785.00,
61,31,Đen,L,81,147353.00,
62,31,Đen,L,113,145442.00,
63,32,Đen,L,21,445520.00,
64,32,Đen,L,60,457529.00,
65,33,Đen,M,111,99262.00,
66,33,Đen,L,81,102275.00,
67,34,Đen,M,48,124512.00,
68,34,Trắng,M,40,122473.00,
69,35,Trắng,L,88,188312.00,
70,35,Trắng,L,81,188743.00,
71,36,Trắng,L,143,251374.00,
72,36,Đen,M,21,245751.00,
73,37,Trắng,L,102,316250.00,
74,37,Đen,L,95,311988.00,
75,38,Trắng,L,27,61105.00,
76,38,Đen,L,72,64906.00,
77,39,Đen,L,128,154516.00,
78,39,Trắng,L,146,152224.00,
79,40,Đen,L,145,450855.00,
80,40,Trắng,M,89,456803.00,
81,41,Trắng,L,100,102570.00,
82,41,Đen,L,86,105785.00,
83,42,Đen,M,122,125790.00,
84,42,Trắng,M,48,125287.00,
85,43,Đen,L,108,181009.00,
86,43,Đen,M,66,188248.00,
87,44,Đen,L,111,246248.00,
88,44,Trắng,L,46,259992.00,
89,45,Đen,M,54,306646.00,
90,45,Trắng,M,141,313188.00,
91,46,Đen,L,91,62743.00,
92,46,Trắng,L,74,58896.00,
93,47,Đen,M,90,159613.00,
94,47,Trắng,M,105,149355.00,
95,48,Đen,M,28,455624.00,
96,48,Đen,L,146,446193.00,
97,49,Đen,L,111,99042.00,
98,49,Trắng,M,47,94239.00,
99,50,Đen,M,144,118061.00,
100,50,Đen,M,84,127276.00,
101,51,Đen,L,50,181907.00,
102,51,Trắng,M,78,189230.00,
103,52,Đen,L,61,247721.00,
104,52,Đen,L,113,251963.00,
105,53,Trắng,L,121,315436.00,
106,53,Trắng,L,109,311344.00,
107,54,Trắng,L,54,53087.00,
108,54,Đen,M,49,50045.00,
109,55,Đen,M,129,159620.00,
110,55,Đen,L,137,146224.00,
111,56,Đen,M,73,454729.00,
112,56,Đen,M,62,445944.00,
113,57,Trắng,M,22,94953.00,
114,57,Đen,M,26,100119.00,
115,58,Trắng,M,50,118176.00,
116,58,Trắng,L,26,118775.00,
117,59,Trắng,M,105,184167.00,
118,59,Đen,L,26,187769.00,
119,60,Trắng,M,47,253957.00,
120,60,Trắng,M,36,246743.00,
121,61,Trắng,M,140,305102.00,
122,61,Đen,M,45,317372.00,
123,62,Trắng,M,94,57601.00,
124,62,Đen,L,132,61901.00,
125,63,Đen,L,116,150381.00,
126,63,Đen,L,38,151373.00,
127,64,Đen,L,35,447042.00,
128,64,Đen,L,87,445070.00,
129,65,Đen,L,38,98092.00,
130,65,Trắng,L,92,108625.00,
131,66,Trắng,M,20,117000.00,
132,66,Đen,M,45,120406.00,
133,67,Đen,M,104,191735.00,
134,67,Trắng,L,40,190955.00,
135,68,Đen,M,26,254232.00,
136,68,Đen,M,30,253116.00,
137,69,Đen,L,59,305598.00,
138,69,Đen,L,62,305929.00,
139,70,Đen,L,70,58576.00,
140,70,Đen,L,20,50664.00,
141,71,Trắng,L,111,153947.00,
142,71,Trắng,M,148,159431.00,
143,72,Đen,L,93,453624.00,
144,72,Đen,M,103,457640.00,
145,73,Đen,M,62,108303.00,
146,73,Đen,L,69,105725.00,
147,74,Đen,M,56,115647.00,
148,74,Trắng,L,104,117303.00,
149,75,Đen,M,108,187494.00,
150,75,Trắng,M,27,194184.00,
151,76,Trắng,M,54,245659.00,
152,76,Đen,M,135,257912.00,
153,77,Đen,M,28,316038.00,
154,77,Đen,L,38,313758.00,
155,78,Đen,L,46,62992.00,
156,78,Đen,L,48,61556.00,
157,79,Trắng,M,133,149149.00,
158,79,Trắng,L,131,151499.00,
159,80,Đen,M,24,450534.00,
160,80,Đen,M,99,452616.00,
161,81,Trắng,M,91,97891.00,
162,81,Trắng,L,114,95888.00,
163,82,Đen,M,135,121013.00,
164,82,Trắng,M,27,118183.00,
165,83,Đen,M,83,182228.00,
166,83,Đen,M,91,181505.00,
167,84,Đen,L,85,257879.00,
168,84,Đen,M,104,249481.00,
169,85,Đen,M,45,317738.00,
170,85,Trắng,M,114,313366.00,
171,86,Đen,M,54,51846.00,
172,86,Trắng,L,100,54253.00,
173,87,Trắng,M,75,152396.00,
174,87,Trắng,M,100,152167.00,
175,88,Trắng,L,95,450218.00,
176,88,Đen,L,62,459437.00,
177,89,Trắng,L,142,99092.00,
178,89,Trắng,M,90,97977.00,
179,90,Đen,M,127,116521.00,
180,90,Trắng,M,123,123845.00,
181,91,Trắng,M,37,188754.00,
182,91,Đen,L,80,185192.00,
183,92,Đen,L,150,253530.00,
184,92,Trắng,L,98,250273.00,
185,93,Đen,M,59,319378.00,
186,93,Trắng,L,83,317701.00,
187,94,Trắng,M,91,59938.00,
188,94,Đen,L,102,57816.00,
189,95,Trắng,M,115,148011.00,
190,95,Đen,M,139,145321.00,
191,96,Đen,M,43,452000.00,
192,96,Đen,L,137,459313.00,
193,97,Trắng,L,25,107788.00,
194,97,Trắng,L,110,101530.00,
195,98,Trắng,L,141,125253.00,
196,98,Đen,L,93,129391.00,
197,99,Đen,M,116,184938.00,
198,99,Đen,M,33,187287.00,
199,100,Đen,M,71,251520.00,
200,100,Đen,L,118,246478.00,
201,101,Trắng,L,115,315741.00,
202,101,Đen,M,86,310414.00,
203,102,Đen,L,41,63976.00,
204,102,Trắng,M,80,57892.00,
205,103,Đen,L,22,145367.00,
206,103,Trắng,M,35,155118.00,
207,104,Trắng,M,29,453672.00,
208,104,Đen,M,28,448444.00,
209,105,Trắng,L,59,104077.00,
210,105,Trắng,M,91,101189.00,
211,106,Trắng,L,130,122409.00,
212,106,Đen,L,80,129568.00,
213,107,Đen,L,117,180059.00,
214,107,Trắng,M,59,191485.00,
215,108,Trắng,L,24,252599.00,
216,108,Trắng,M,123,252226.00,
217,109,Trắng,M,141,317985.00,
218,109,Đen,L,136,317009.00,
219,110,Trắng,M,146,62210.00,
220,110,Đen,M,29,51155.00,
221,111,Đen,M,33,146498.00,
222,111,Đen,L,102,158978.00,
223,112,Trắng,M,147,450439.00,
224,112,Đen,M,74,456722.00,
225,113,Trắng,M,103,94238.00,
226,113,Đen,L,113,99094.00,
227,114,Đen,L,41,115935.00,
228,114,Đen,M,73,123784.00,
229,115,Trắng,M,56,184855.00,
230,115,Đen,L,120,191741.00,
231,116,Đen,L,150,249288.00,
232,116,Trắng,M,55,245502.00,
233,117,Trắng,M,95,306715.00,
234,117,Đen,M,147,316057.00,
235,118,Trắng,M,40,56926.00,
236,118,Đen,L,119,59925.00,
237,119,Trắng,M,38,146066.00,
238,119,Đen,M,126,152118.00,
239,120,Trắng,M,101,458331.00,
240,120,Đen,L,93,453734.00,
241,121,Trắng,L,54,98925.00,
242,121,Đen,M,117,108290.00,
243,122,Đen,M,139,129607.00,
244,122,Đen,M,75,119729.00,
245,123,Trắng,M,91,180990.00,
246,123,Đen,L,105,189669.00,
247,124,Đen,M,51,259769.00,
248,124,Đen,L,91,253595.00,
249,125,Trắng,L,136,309169.00,
250,125,Trắng,L,133,311890.00,
251,126,Đen,M,20,53128.00,
252,126,Đen,M,150,59973.00,
253,127,Trắng,M,68,159684.00,
254,127,Đen,M,108,149308.00,
255,128,Trắng,M,26,445852.00,
256,128,Đen,L,60,453611.00,
257,129,Đen,M,106,97556.00,
258,129,Đen,M,33,96889.00,
259,130,Trắng,L,28,128986.00,
260,130,Trắng,L,74,118945.00,
261,131,Đen,L,103,184537.00,
262,131,Trắng,M,92,184530.00,
263,132,Trắng,M,96,247907.00,
264,132,Đen,M,59,252360.00,
265,133,Đen,L,94,311511.00,
266,133,Trắng,L,140,309761.00,
267,134,Đen,L,146,62164.00,
268,134,Đen,M,59,63659.00,
269,135,Đen,M,103,152967.00,
270,135,Trắng,M,83,159433.00,
271,136,Trắng,M,108,451611.00,
272,136,Trắng,M,21,454463.00,
273,137,Đen,M,59,101764.00,
274,137,Đen,M,51,100694.00,
275,138,Trắng,M,29,126153.00,
276,138,Đen,L,40,129838.00,
277,139,Đen,L,94,184662.00,
278,139,Đen,L,59,183954.00,
279,140,Trắng,L,77,248169.00,
280,140,Trắng,M,55,250304.00,
281,141,Trắng,L,98,305466.00,
282,141,Trắng,M,67,309844.00,
283,142,Đen,M,135,53013.00,
284,142,Trắng,L,102,54342.00,
285,143,Đen,L,61,158070.00,
286,143,Đen,M,42,151676.00,
287,144,Trắng,L,109,457802.00,
288,144,Trắng,M,133,449730.00,
289,145,Đen,M,143,97408.00,
290,145,Đen,L,125,105302.00,
291,146,Trắng,L,96,122619.00,
292,146,Trắng,L,30,129257.00,
293,147,Trắng,M,61,184290.00,
294,147,Đen,M,131,193929.00,
295,148,Đen,M,59,249332.00,
296,148,Trắng,L,117,256134.00,
297,149,Đen,M,130,319155.00,
298,149,Trắng,L,70,311312.00,
299,150,Trắng,M,21,58670.00,
300,150,Đen,L,60,52274.00,
301,151,Đen,L,64,150096.00,
302,151,Trắng,L,90,159862.00,
303,152,Trắng,M,145,455752.00,
304,152,Trắng,L,51,451203.00,
305,153,Trắng,L,138,105353.00,
306,153,Trắng,L,116,97069.00,
307,154,Trắng,M,105,121611.00,
308,154,Đen,M,78,128070.00,
309,155,Trắng,L,81,187947.00,
310,155,Đen,M,93,190420.00,
311,156,Trắng,L,126,248413.00,
312,156,Trắng,M,110,252047.00,
313,157,Đen,M,46,312434.00,
314,157,Đen,L,137,309225.00,
315,158,Đen,L,47,55587.00,
316,158,Trắng,M,142,64354.00,
317,159,Đen,M,37,151729.00,
318,159,Đen,L,20,156653.00,
319,160,Đen,M,27,448157.00,
320,160,Đen,M,91,446667.00,
321,161,Đen,M,119,97245.00,
322,161,Trắng,M,85,108210.00,
323,162,Đen,M,52,129078.00,
324,162,Đen,L,66,129547.00,
325,163,Trắng,M,23,180011.00,
326,163,Đen,M,134,187355.00,
327,164,Đen,M,118,245686.00,
328,164,Trắng,M,150,249250.00,
329,165,Đen,L,108,319818.00,
330,165,Trắng,L,81,312214.00,
331,166,Đen,M,142,57749.00,
332,166,Đen,L,145,62860.00,
333,167,Đen,M,86,156570.00,
334,167,Trắng,M,115,152973.00,
335,168,Trắng,M,143,445091.00,
336,168,Đen,M,128,456788.00,
337,169,Trắng,L,22,98801.00,
338,169,Đen,M,61,99735.00,
339,170,Đen,M,92,128563.00,
340,170,Đen,M,102,125251.00,
341,171,Đen,M,116,190301.00,
342,171,Đen,M,108,193821.00,
343,172,Trắng,L,93,246437.00,
344,172,Trắng,L,101,257137.00,
345,173,Đen,L,133,319960.00,
346,173,Đen,L,122,316529.00,
347,174,Đen,M,132,51967.00,
348,174,Trắng,L,77,50727.00,
349,175,Đen,L,129,145510.00,
350,175,Đen,L,51,156479.00,
351,176,Trắng,M,68,445733.00,
352,176,Đen,M,146,452823.00,
353,177,Đen,M,135,105443.00,
354,177,Đen,M,138,107820.00,
355,178,Đen,M,33,117323.00,
356,178,Đen,M,51,116750.00,
357,179,Đen,M,107,194516.00,
358,179,Trắng,M,48,186737.00,
359,180,Đen,M,61,255866.00,
360,180,Đen,L,87,255575.00,
361,181,Trắng,L,67,315876.00,
362,181,Trắng,M,127,308406.00,
363,182,Đen,L,148,61727.00,
364,182,Trắng,L,35,64857.00,
365,183,Đen,L,57,158040.00,
366,183,Đen,L,78,152737.00,
367,184,Đen,M,58,454321.00,
368,184,Trắng,L,52,457840.00,
369,185,Đen,M,45,108885.00,
370,185,Trắng,L,115,99401.00,
371,186,Đen,L,37,126586.00,
372,186,Trắng,L,107,125735.00,
373,187,Đen,L,134,180912.00,
374,187,Trắng,L,129,189678.00,
375,188,Trắng,M,116,258136.00,
376,188,Đen,L,74,251365.00,
377,189,Trắng,M,143,315408.00,
378,189,Trắng,L,64,306664.00,
379,190,Đen,L,150,50621.00,
380,190,Trắng,M,33,52201.00,
381,191,Đen,M,130,147106.00,
382,191,Đen,L,63,156361.00,
383,192,Trắng,M,74,445383.00,
384,192,Đen,M,56,454607.00,
385,193,Đen,L,36,106094.00,
386,193,Đen,M,109,96409.00,
387,194,Đen,M,20,125204.00,
388,194,Đen,M,68,121863.00,
389,195,Trắng,M,77,193705.00,
390,195,Trắng,L,27,184742.00,
391,196,Trắng,M,27,249757.00,
392,196,Trắng,L,119,252733.00,
393,197,Trắng,L,103,314501.00,
394,197,Trắng,L,33,306118.00,
395,198,Đen,M,125,61870.00,
396,198,Đen,M,58,62568.00,
397,199,Đen,L,119,147773.00,
398,199,Trắng,M,97,149677.00,
399,200,Đen,L,33,452216.00,
400,200,Trắng,M,62,455574.00,
401,201,Đen,M,118,102391.00,
402,201,Đen,L,34,107104.00,
403,202,Đen,L,129,117590.00,
404,202,Trắng,M,26,129454.00,
405,203,Đen,M,27,186955.00,
406,203,Trắng,L,111,192843.00,
407,204,Trắng,M,83,249372.00,
408,204,Đen,L,57,256012.00,
409,205,Trắng,L,122,316724.00,
410,205,Đen,M,149,311037.00,
411,206,Trắng,L,107,64427.00,
412,206,Trắng,M,101,62930.00,
413,207,Đen,L,104,155782.00,
414,207,Đen,M,78,147118.00,
415,208,Trắng,L,124,449113.00,
416,208,Đen,L,148,451850.00,
417,209,Đen,M,126,107327.00,
418,209,Đen,L,36,96309.00,
419,210,Đen,L,89,121189.00,
420,210,Đen,M,39,125181.00,
421,211,Đen,L,87,186163.00,
422,211,Trắng,L,124,187079.00,
423,212,Trắng,M,89,247263.00,
424,212,Đen,M,79,251491.00,
425,213,Đen,L,64,318687.00,
426,213,Trắng,M,62,307215.00,
427,214,Trắng,M,37,58574.00,
428,214,Trắng,L,144,51922.00,
429,215,Trắng,L,66,146036.00,
430,215,Đen,M,125,150735.00,
431,216,Đen,L,72,459117.00,
432,216,Đen,M,43,458025.00,
433,217,Trắng,M,26,95209.00,
434,217,Đen,M,133,105213.00,
435,218,Đen,M,105,121442.00,
436,218,Đen,L,22,124409.00,
437,219,Trắng,L,91,190962.00,
438,219,Trắng,L,116,181019.00,
439,220,Đen,M,93,246299.00,
440,220,Trắng,M,84,254786.00,
441,221,Đen,L,125,317962.00,
442,221,Đen,L,49,314332.00,
443,222,Đen,M,132,62097.00,
444,222,Đen,M,81,58781.00,
445,223,Đen,L,146,149122.00,
446,223,Đen,L,92,153714.00,
447,224,Trắng,M,72,453705.00,
448,224,Đen,L,107,459168.00,
449,225,Trắng,L,142,103040.00,
450,225,Đen,M,145,105605.00,
451,226,Đen,M,22,119795.00,
452,226,Đen,L,23,128078.00,
453,227,Đen,M,136,188115.00,
454,227,Đen,M,36,183491.00,
455,228,Đen,L,90,245280.00,
456,228,Trắng,M,127,255447.00,
457,229,Đen,M,61,315923.00,
458,229,Trắng,M,105,313106.00,
459,230,Đen,L,104,50740.00,
460,230,Trắng,M,106,52711.00,
461,231,Đen,L,28,157061.00,
462,231,Đen,M,48,147128.00,
463,232,Trắng,L,66,446257.00,
464,232,Trắng,L,150,448215.00,
465,233,Trắng,M,80,97789.00,
466,233,Trắng,M,70,94517.00,
467,234,Trắng,L,126,116183.00,
468,234,Đen,M,71,124708.00,
469,235,Đen,M,141,187132.00,
470,235,Đen,L,148,187228.00,
471,236,Trắng,L,95,249002.00,
472,236,Trắng,L,94,247094.00,
473,237,Trắng,L,60,319805.00,
474,237,Trắng,M,116,315819.00,
475,238,Trắng,M,132,61559.00,
476,238,Trắng,L,26,64260.00,
477,239,Đen,L,102,148839.00,
478,239,Đen,M,88,156380.00,
479,240,Trắng,M,89,446991.00,
480,240,Đen,M,142,459922.00,
481,241,Đen,L,114,96384.00,
482,241,Trắng,L,141,106786.00,
483,242,Đen,M,61,127548.00,
484,242,Đen,L,138,115449.00,
485,243,Đen,L,59,188176.00,
486,243,Trắng,M,140,191199.00,
487,244,Trắng,L,64,250517.00,
