id,shop_id,name,description
1,57,Laptop Samsung Cao cap - Ma 1,Mo ta chi tiet cho san pham Laptop Samsung Cao cap - Ma 1
2,162,Laptop Xiaomi Fullbox - Ma 2,Mo ta chi tiet cho san pham Laptop Xiaomi Fullbox - Ma 2
3,146,Tai nghe Asus Fullbox - Ma 3,Mo ta chi tiet cho san pham Tai nghe Asus Fullbox - Ma 3
4,83,Laptop Nike Cao cap - Ma 4,Mo ta chi tiet cho san pham Laptop Nike Cao cap - Ma 4
5,6,Quan Jean Dell Fullbox - Ma 5,Mo ta chi tiet cho san pham Quan Jean Dell Fullbox - Ma 5
6,161,Ao thun Rolex Xach tay - Ma 6,Mo ta chi tiet cho san pham Ao thun Rolex Xach tay - Ma 6
7,119,Kem chong nang Asus Fullbox - Ma 7,Mo ta chi tiet cho san pham Kem chong nang Asus Fullbox - Ma 7
8,146,Kem chong nang Coolmate Fullbox - Ma 8,Mo ta chi tiet cho san pham Kem chong nang Coolmate Fullbox - Ma 8
9,103,Ao thun Macbook Moi 100% - Ma 9,Mo ta chi tiet cho san pham Ao thun Macbook Moi 100% - Ma 9
10,85,Tai nghe Coolmate Xach tay - Ma 10,Mo ta chi tiet cho san pham Tai nghe Coolmate Xach tay - Ma 10
11,124,Tai nghe Oppo Cao cap - Ma 11,Mo ta chi tiet cho san pham Tai nghe Oppo Cao cap - Ma 11
12,134,Giay Sneaker Casio Gia re - Ma 12,Mo ta chi tiet cho san pham Giay Sneaker Casio Gia re - Ma 12
13,101,Ao thun JBL Giam gia soc - Ma 13,Mo ta chi tiet cho san pham Ao thun JBL Giam gia soc - Ma 13
14,33,Laptop Macbook Chinh hang - Ma 14,Mo ta chi tiet cho san pham Laptop Macbook Chinh hang - Ma 14
15,195,Laptop Rolex Limited Edition - Ma 15,Mo ta chi tiet cho san pham Laptop Rolex Limited Edition - Ma 15
16,132,Tai nghe Nike Gia re - Ma 16,Mo ta chi tiet cho san pham Tai nghe Nike Gia re - Ma 16
17,187,Dong ho Asus Sieu ben - Ma 17,Mo ta chi tiet cho san pham Dong ho Asus Sieu ben - Ma 17
18,47,Laptop Dell Chinh hang - Ma 18,Mo ta chi tiet cho san pham Laptop Dell Chinh hang - Ma 18
19,129,Son moi Dell Chinh hang - Ma 19,Mo ta chi tiet cho san pham Son moi Dell Chinh hang - Ma 19
20,156,Giay Sneaker Oppo Moi 100% - Ma 20,Mo ta chi tiet cho san pham Giay Sneaker Oppo Moi 100% - Ma 20
21,124,Ao thun Rolex Limited Edition - Ma 21,Mo ta chi tiet cho san pham Ao thun Rolex Limited Edition - Ma 21
22,17,Laptop Coolmate Chinh hang - Ma 22,Mo ta chi tiet cho san pham Laptop Coolmate Chinh hang - Ma 22
23,46,Son moi Oppo Moi 100% - Ma 23,Mo ta chi tiet cho san pham Son moi Oppo Moi 100% - Ma 23
24,106,Laptop Macbook Cao cap - Ma 24,Mo ta chi tiet cho san pham Laptop Macbook Cao cap - Ma 24
25,163,Dien thoai Zara Chinh hang - Ma 25,Mo ta chi tiet cho san pham Dien thoai Zara Chinh hang - Ma 25
26,153,Dien thoai Xiaomi Giam gia soc - Ma 26,Mo ta chi tiet cho san pham Dien thoai Xiaomi Giam gia soc - Ma 26
27,158,Kem chong nang Xiaomi Gia re - Ma 27,Mo ta chi tiet cho san pham Kem chong nang Xiaomi Gia re - Ma 27
28,40,Giay Sneaker Gucci Chinh hang - Ma 28,Mo ta chi tiet cho san pham Giay Sneaker Gucci Chinh hang - Ma 28
29,121,Kem chong nang iPhone Chinh hang - Ma 29,Mo ta chi tiet cho san pham Kem chong nang iPhone Chinh hang - Ma 29
30,123,Quan Jean Samsung Limited Edition - Ma 30,Mo ta chi tiet cho san pham Quan Jean Samsung Limited Edition - Ma 30
31,59,Quan Jean Rolex Cao cap - Ma 31,Mo ta chi tiet cho san pham Quan Jean Rolex Cao cap - Ma 31
32,73,Kem chong nang Gucci Chinh hang - Ma 32,Mo ta chi tiet cho san pham Kem chong nang Gucci Chinh hang - Ma 32
33,89,Kem chong nang Macbook Moi 100% - Ma 33,Mo ta chi tiet cho san pham Kem chong nang Macbook Moi 100% - Ma 33
34,17,Tai nghe Gucci Giam gia soc - Ma 34,Mo ta chi tiet cho san pham Tai nghe Gucci Giam gia soc - Ma 34
35,167,Dong ho Xiaomi Sieu ben - Ma 35,Mo ta chi tiet cho san pham Dong ho Xiaomi Sieu ben - Ma 35
36,151,Laptop Macbook Sieu ben - Ma 36,Mo ta chi tiet cho san pham Laptop Macbook Sieu ben - Ma 36
37,14,Son moi Macbook Gia re - Ma 37,Mo ta chi tiet cho san pham Son moi Macbook Gia re - Ma 37
38,110,Giay Sneaker iPhone Fullbox - Ma 38,Mo ta chi tiet cho san pham Giay Sneaker iPhone Fullbox - Ma 38
39,54,Son moi Casio Chinh hang - Ma 39,Mo ta chi tiet cho san pham Son moi Casio Chinh hang - Ma 39
40,68,Son moi Samsung Chinh hang - Ma 40,Mo ta chi tiet cho san pham Son moi Samsung Chinh hang - Ma 40
41,130,Dong ho iPhone Moi 100% - Ma 41,Mo ta chi tiet cho san pham Dong ho iPhone Moi 100% - Ma 41
42,131,Laptop iPhone Giam gia soc - Ma 42,Mo ta chi tiet cho san pham Laptop iPhone Giam gia soc - Ma 42
43,120,Giay Sneaker iPhone Moi 100% - Ma 43,Mo ta chi tiet cho san pham Giay Sneaker iPhone Moi 100% - Ma 43
44,156,Kem chong nang Rolex Sieu ben - Ma 44,Mo ta chi tiet cho san pham Kem chong nang Rolex Sieu ben - Ma 44
45,152,Son moi Oppo Moi 100% - Ma 45,Mo ta chi tiet cho san pham Son moi Oppo Moi 100% - Ma 45
46,139,Kem chong nang Asus Sieu ben - Ma 46,Mo ta chi tiet cho san pham Kem chong nang Asus Sieu ben - Ma 46
47,122,Dong ho Sony Limited Edition - Ma 47,Mo ta chi tiet cho san pham Dong ho Sony Limited Edition - Ma 47
