id,shop_id,name,description,price,image_url,created_at,category_id,is_deleted
1,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 856,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,99000.00,https://picsum.photos/seed/shopee_1/400/400,2026-03-11 19:35:45.3,9,0
2,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 723,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,120000.00,https://picsum.photos/seed/shopee_2/400/400,2026-03-11 19:35:45.303,4,0
3,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 352,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,185000.00,https://picsum.photos/seed/shopee_3/400/400,2026-03-11 19:35:45.387,9,0
4,4,Giày Thể Thao Sneaker Nam Nữ 671,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,250000.00,https://picsum.photos/seed/shopee_4/400/400,2026-03-11 19:35:45.387,7,0
5,5,Tai nghe không dây Bluetooth 5.0 517,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,310000.00,https://picsum.photos/seed/shopee_5/400/400,2026-03-11 19:35:45.387,7,0
6,6,Ốp lưng iPhone 13 14 15 Pro Max 666,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,55000.00,https://picsum.photos/seed/shopee_6/400/400,2026-03-11 19:35:45.387,4,0
7,7,Balo thời trang nam nữ Unisex 133,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,150000.00,https://picsum.photos/seed/shopee_7/400/400,2026-03-11 19:35:45.387,3,0
8,8,Đồng hồ nam nữ dây da chống nước 536,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,450000.00,https://picsum.photos/seed/shopee_8/400/400,2026-03-11 19:35:45.387,9,0
9,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 101,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,99000.00,https://picsum.photos/seed/shopee_9/400/400,2026-03-11 19:35:45.387,7,0
10,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 879,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,120000.00,https://picsum.photos/seed/shopee_10/400/400,2026-03-11 19:35:45.387,9,0
11,3,Quần Jean Nam Ống Rộng Cao Cấp Trẻ Trung 823,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,185000.00,https://picsum.photos/seed/shopee_11/400/400,2026-03-11 19:35:45.387,1,0
12,4,Giày Thể Thao Sneaker Nam Nữ 235,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,250000.00,https://picsum.photos/seed/shopee_12/400/400,2026-03-11 19:35:45.387,2,0
13,5,Tai nghe không dây Bluetooth 5.0 781,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,310000.00,https://picsum.photos/seed/shopee_13/400/400,2026-03-11 19:35:45.387,9,0
14,6,Ốp lưng iPhone 13 14 15 Pro Max 691,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,55000.00,https://picsum.photos/seed/shopee_14/400/400,2026-03-11 19:35:45.387,6,0
15,7,Balo thời trang nam nữ Unisex 307,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,150000.00,https://picsum.photos/seed/shopee_15/400/400,2026-03-11 19:35:45.387,1,0
16,8,Đồng hồ nam nữ dây da chống nước 211,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,450000.00,https://picsum.photos/seed/shopee_16/400/400,2026-03-11 19:35:45.387,3,0
17,1,Áo thun nam CANIFA ngắn tay cổ tròn form thường chất cotton 739,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,99000.00,https://picsum.photos/seed/shopee_17/400/400,2026-03-11 19:35:45.387,9,0
18,2,Áo phông nam nữ tay ngắn cổ tròn form rộng vải dạ quang 715,Hàng chuẩn Mall. Hàng chuẩn Mall. Hàng chuẩn Mall.,120000.00,https://picsum.photos/seed/shopee_18/400/400,2026-03-11 19:35:45.387,4,0
