id,product_id,color,size,stock,price,note
1,1,Đen,M,42,98813,
2,1,Đen,L,105,100523,
3,2,Trắng,M,69,127655,
4,2,Đen,M,63,128985,
5,3,Trắng,L,114,192018,
6,3,Đen,L,70,191670,
7,4,Trắng,L,78,245368,
8,4,Đen,M,109,257828,
9,5,Đen,M,113,312104,
10,5,Trắng,L,58,314497,
11,6,Trắng,M,20,63372,
12,6,Đen,L,121,61435,
13,7,Trắng,M,84,149717,
14,7,Trắng,L,93,159171,
15,8,Trắng,M,138,449639,
16,8,Trắng,L,67,450118,
17,9,Đen,L,136,104999,
18,9,Trắng,L,88,103875,
19,10,Trắng,M,38,121288,
20,10,Trắng,L,139,127476,
21,11,Đen,L,150,191587,
22,11,Đen,M,59,183103,
23,12,Trắng,L,59,259986,
24,12,Đen,M,105,258299,
25,13,Đen,L,92,309584,
26,13,Đen,L,105,305680,
27,14,Trắng,M,117,56226,
28,14,Trắng,L,107,59296,
29,15,Trắng,L,105,148444,
30,15,Đen,L,81,155321,
31,16,Trắng,M,88,457362,
32,16,Đen,L,82,449308,
33,17,Đen,M,143,106554,
34,17,Trắng,L,109,106762,
35,18,Đen,M,110,123202,
36,18,Trắng,M,27,128008,
37,19,Đen,L,140,193544,
38,19,Đen,M,82,183745,
39,20,Trắng,M,80,254327,
40,20,Đen,M,90,259182,
41,21,Trắng,M,104,306326,
42,21,Trắng,L,129,305368,
43,22,Trắng,L,73,53310,
44,22,Đen,M,79,64265,
45,23,Đen,L,114,150327,
46,23,Trắng,M,40,145807,
47,24,Đen,L,131,457643,
48,24,Đen,M,90,458526,
49,25,Trắng,L,110,108956,
50,25,Đen,L,64,105446,
51,26,Trắng,L,59,115275,
52,26,Trắng,M,126,116911,
53,27,Đen,L,145,184331,
54,27,Đen,M,78,188501,
55,28,Đen,M,94,250069,
56,28,Đen,L,70,255645,
57,29,Đen,M,66,310695,
58,29,Đen,L,123,317846,
59,30,Trắng,M,40,63366,
60,30,Trắng,M,67,50606,
61,31,Trắng,M,91,154259,
62,31,Trắng,M,116,151750,
63,32,Đen,L,114,454805,
64,32,Trắng,M,49,453231,
65,33,Trắng,M,95,100281,
66,33,Đen,L,150,101393,
67,34,Trắng,L,25,117689,
68,34,Đen,M,82,125803,
69,35,Trắng,M,54,190337,
70,35,Đen,L,50,188073,
71,36,Trắng,M,127,252388,
72,36,Đen,L,79,254362,
73,37,Đen,M,73,315075,
74,37,Trắng,L,141,318213,
75,38,Trắng,L,59,58196,
76,38,Đen,L,95,64866,
77,39,Trắng,M,38,147408,
78,39,Trắng,L,97,151785,
79,40,Trắng,L,55,445464,
80,40,Trắng,M,71,449567,
81,41,Trắng,L,75,98390,
82,41,Đen,M,26,99619,
83,42,Trắng,L,132,125175,
84,42,Đen,L,78,120466,
85,43,Trắng,M,32,183634,
86,43,Trắng,L,44,186657,
87,44,Đen,M,82,245939,
88,44,Trắng,M,24,246488,
89,45,Đen,M,139,311713,
90,45,Trắng,M,140,315784,
91,46,Đen,M,66,62972,
92,46,Đen,M,61,56700,
93,47,Đen,L,64,145330,
94,47,Trắng,L,75,146305,
95,48,Đen,M,64,457771,
96,48,Trắng,M,145,446256,
97,49,Trắng,L,89,100253,
98,49,Trắng,L,74,101641,
99,50,Đen,M,30,123565,
100,50,Trắng,L,61,118402,
101,51,Trắng,M,69,186777,
102,51,Đen,M,118,188481,
103,52,Đen,L,25,256648,
104,52,Trắng,M,86,258368,
105,53,Đen,M,25,305231,
106,53,Trắng,M,98,310248,
107,54,Trắng,M,89,55200,
108,54,Đen,L,127,57580,
109,55,Đen,L,26,159072,
110,55,Đen,M,149,159992,
111,56,Đen,M,94,449471,
112,56,Trắng,L,39,454388,
113,57,Trắng,M,84,108388,
114,57,Đen,M,46,102238,
115,58,Đen,M,56,122293,
116,58,Đen,L,41,118943,
117,59,Đen,M,56,189381,
118,59,Trắng,L,130,183280,
119,60,Trắng,L,118,250741,
120,60,Trắng,M,62,249150,
121,61,Đen,L,40,305438,
122,61,Đen,M,123,307997,
123,62,Trắng,M,45,62689,
124,62,Đen,L,90,64323,
125,63,Đen,L,145,155975,
126,63,Trắng,M,113,150215,
127,64,Trắng,L,44,448112,
128,64,Đen,M,40,445016,
129,65,Đen,L,66,97412,
130,65,Đen,L,78,108025,
131,66,Đen,M,141,126961,
132,66,Đen,M,129,128064,
133,67,Trắng,M,139,187675,
134,67,Trắng,L,92,188933,
135,68,Đen,M,63,251111,
136,68,Đen,L,145,252718,
137,69,Trắng,L,72,310184,
138,69,Trắng,M,27,316780,
139,70,Trắng,L,126,54572,
140,70,Trắng,L,74,53417,
141,71,Trắng,M,124,159035,
142,71,Trắng,L,82,146909,
143,72,Đen,L,126,455094,
144,72,Đen,L,129,459448,
145,73,Đen,L,147,94429,
146,73,Trắng,M,26,108526,
147,74,Đen,L,76,129612,
148,74,Trắng,M,31,125193,
149,75,Trắng,L,70,184428,
150,75,Đen,L,104,185567,
151,76,Trắng,L,119,247987,
152,76,Trắng,L,71,257568,
153,77,Đen,M,114,307667,
154,77,Đen,L,96,313796,
155,78,Đen,M,30,57498,
156,78,Đen,L,89,55379,
157,79,Đen,M,98,158703,
158,79,Trắng,M,119,156824,
159,80,Đen,M,85,458952,
160,80,Trắng,L,33,453467,
161,81,Đen,L,94,96262,
162,81,Trắng,L,131,96560,
163,82,Đen,L,78,126543,
164,82,Trắng,L,57,123224,
165,83,Đen,L,97,190917,
166,83,Trắng,M,148,190771,
167,84,Đen,L,149,255452,
168,84,Đen,M,74,258690,
169,85,Đen,L,114,318317,
170,85,Đen,L,66,319229,
171,86,Trắng,L,129,55128,
172,86,Đen,M,97,51746,
173,87,Trắng,L,57,155107,
174,87,Trắng,M,103,152967,
175,88,Đen,M,108,456805,
176,88,Trắng,L,35,457644,
177,89,Trắng,L,53,95863,
178,89,Đen,M,56,98801,
179,90,Đen,L,117,118873,
180,90,Đen,L,130,119052,
181,91,Đen,L,149,187066,
182,91,Trắng,L,32,183943,
183,92,Đen,M,137,253727,
184,92,Trắng,L,30,254075,
185,93,Trắng,M,20,312012,
186,93,Trắng,M,91,318379,
187,94,Trắng,M,61,58321,
188,94,Trắng,L,62,54539,
189,95,Đen,L,147,157148,
190,95,Trắng,L,25,153750,
191,96,Trắng,M,98,450975,
192,96,Trắng,L,44,446664,
193,97,Đen,M,110,95070,
194,97,Đen,M,114,96481,
195,98,Trắng,M,54,115731,
196,98,Đen,M,99,126784,
197,99,Đen,M,44,182230,
198,99,Đen,M,66,182962,
199,100,Đen,L,103,247059,
200,100,Trắng,L,140,245628,
201,101,Đen,L,39,317738,
202,101,Trắng,L,105,312907,
203,102,Trắng,M,113,63696,
204,102,Đen,M,92,64317,
205,103,Trắng,M,89,152071,
206,103,Đen,L,79,147589,
207,104,Trắng,M,85,455772,
208,104,Trắng,M,137,453603,
209,105,Trắng,L,27,102538,
210,105,Trắng,M,30,98504,
211,106,Đen,M,106,120336,
212,106,Trắng,M,113,126224,
213,107,Trắng,L,48,181781,
214,107,Trắng,L,51,185829,
215,108,Đen,M,107,253954,
216,108,Đen,M,54,259965,
217,109,Trắng,L,39,318846,
218,109,Đen,L,76,313518,
219,110,Trắng,M,112,57264,
220,110,Trắng,M,126,63568,
221,111,Đen,L,23,155675,
222,111,Đen,M,97,154312,
223,112,Trắng,M,143,453219,
224,112,Đen,M,88,452145,
225,113,Đen,M,27,105481,
226,113,Trắng,M,49,96554,
227,114,Trắng,M,44,115116,
228,114,Đen,M,45,118349,
229,115,Đen,L,65,189273,
